,Code. Piezometer,Depth of work (m),Province,Municipality,Name,Hydrographic Demarcation,Ground elevation (masl),Latitude,Longitude,Measurement Start Date,Measurement Last Date
0,06.08.001,156,Almer’a,Tabernas,El Alpargatero,CUENCAS MEDITERRANEAS ANDALUZAS,565,37.10147371,-2.246306433,09/02/07,05/11/19
1,06.08.002,21,Almer’a,Sorbas,Villaricos,CUENCAS MEDITERRANEAS ANDALUZAS,405,37.10286448,-2.143162374,09/02/07,05/11/19
2,06.09.001,180,Almer’a,Tabernas,Retamares,CUENCAS MEDITERRANEAS ANDALUZAS,494,37.08897681,-2.350892561,01/04/85,11/12/19
3,06.10.004,90,Almer’a,Nacimiento,Camino lavadero pœblico,CUENCAS MEDITERRANEAS ANDALUZAS,580,37.10483777,-2.649300756,10/02/07,21/11/18
4,06.11.001,310,Almer’a,N’jar,Pipaces,CUENCAS MEDITERRANEAS ANDALUZAS,109,36.91212083,-2.166607196,27/11/01,09/12/03
5,06.11.002,140,Almer’a,N’jar,Campohermoso,CUENCAS MEDITERRANEAS ANDALUZAS,128,36.93163729,-2.110745935,14/02/07,04/12/19
6,06.11.004,162,Almer’a,N’jar,El Barranquete,CUENCAS MEDITERRANEAS ANDALUZAS,32,36.83927577,-2.199383747,14/02/07,19/11/18
7,06.11.005,151,Almer’a,N’jar,Los Nietos de Abajo,CUENCAS MEDITERRANEAS ANDALUZAS,73,36.84790097,-2.158690636,14/02/07,04/12/19
8,06.11.006,36,Almer’a,Almer’a,Rambla de Morales,CUENCAS MEDITERRANEAS ANDALUZAS,8,36.81482417,-2.238508925,14/02/07,04/12/19
9,06.11.101,140,Almer’a,N’jar,San Isidro,CUENCAS MEDITERRANEAS ANDALUZAS,122,36.9115275,-2.174583865,21/10/04,19/11/18
10,06.11.103,125,Almer’a,N’jar,El Viso,CUENCAS MEDITERRANEAS ANDALUZAS,107,36.88436417,-2.212637359,27/11/01,09/09/04
11,06.11.203,72,Almer’a,N’jar,El Viso,CUENCAS MEDITERRANEAS ANDALUZAS,104,36.88042033,-2.205182139,21/10/04,04/12/19
12,06.12.001,46,Almer’a,Alhama de Almer’a,Cortijo de las Palmeras,CUENCAS MEDITERRANEAS ANDALUZAS,244,36.97781836,-2.570190108,10/02/07,21/12/09
13,06.12.002,78,Almer’a,Santa Fe de Mondœjar,El Ricaveral,CUENCAS MEDITERRANEAS ANDALUZAS,194,36.97590725,-2.522967507,10/02/07,11/12/19
14,06.12.003,350,Almer’a,Santa Fe de Mondœjar,R. Huechar,CUENCAS MEDITERRANEAS ANDALUZAS,226,36.96207136,-2.51879642,27/11/01,12/09/13
15,06.12.004,33,Almer’a,Pechina,Pechina,CUENCAS MEDITERRANEAS ANDALUZAS,94,36.91613208,-2.445989257,10/02/07,13/12/19
16,06.12.005,91,Almer’a,Viator,CÂª campamento militar,CUENCAS MEDITERRANEAS ANDALUZAS,116,36.89398675,-2.414690558,10/02/07,04/12/19
17,06.12.006,67,Almer’a,Almer’a,Las Gaidas,CUENCAS MEDITERRANEAS ANDALUZAS,51,36.86073872,-2.401493384,10/02/07,04/12/19
18,06.12.007,28,Almer’a,Almer’a,El Mami,CUENCAS MEDITERRANEAS ANDALUZAS,28,36.84082539,-2.430808839,10/02/07,04/12/19
19,06.12.008,70,Almer’a,Almer’a,La Cruz de Martos,CUENCAS MEDITERRANEAS ANDALUZAS,17,36.83266501,-2.428469446,10/02/07,04/12/19
20,06.13.001,20,Almer’a,L‡ujar de Andarax,Antigua central elŽctrica,CUENCAS MEDITERRANEAS ANDALUZAS,952,37.00901315,-2.888878372,12/02/07,11/12/19
21,06.13.002,101,Almer’a,Fond—n,La Granadina,CUENCAS MEDITERRANEAS ANDALUZAS,785,36.9864542,-2.844435243,12/02/07,11/12/19
22,06.13.003,260,Almer’a,Alm—cita,Cjo. Cac’n,CUENCAS MEDITERRANEAS ANDALUZAS,799,36.97917321,-2.809191814,27/11/01,11/12/19
23,06.13.004,90,Almer’a,Canj‡yar,Barranco de Alcora,CUENCAS MEDITERRANEAS ANDALUZAS,653,36.98439988,-2.733432458,12/02/07,13/11/19
24,06.13.005,258,Almer’a,R‡gol,Bco. Mar’n,CUENCAS MEDITERRANEAS ANDALUZAS,545,36.9909435,-2.675187603,27/11/01,11/12/19
25,06.13.005S,184,Almer’a,Berja,Pz-1 Boca Salida Tœnel,CUENCAS MEDITERRANEAS ANDALUZAS,326,36.84274672,-3.00572012,11/06/87,27/11/19
26,06.13.006,178,Almer’a,Terque,Nœcleo de Alhama de Almer’a.,CUENCAS MEDITERRANEAS ANDALUZAS,606,36.95612431,-2.591653695,17/11/09,25/09/19
27,06.13.008,235,Almer’a,Berja,Cortijo Pic—n,CUENCAS MEDITERRANEAS ANDALUZAS,322,36.84330566,-3.005181794,26/11/01,16/12/19
28,06.13.010,165,Almer’a,Berja,Rambla del Boquer—n,CUENCAS MEDITERRANEAS ANDALUZAS,400,36.8367574,-2.914474055,12/02/07,16/12/19
29,06.13.109,215,Almer’a,Berja,Rbla. de Jurbina,CUENCAS MEDITERRANEAS ANDALUZAS,298,36.84927669,-2.962849707,30/11/01,16/12/19
30,06.14.001,137,Almer’a,"Mojonera, La",Rbla. de Carcauz,CUENCAS MEDITERRANEAS ANDALUZAS,69,36.77080168,-2.686382759,30/11/01,05/12/19
31,06.14.001S,137,Almer’a,"Ejido, El",S-1,CUENCAS MEDITERRANEAS ANDALUZAS,191,36.8008011,-2.725886988,15/05/95,18/12/19
32,06.14.002,260,Almer’a,V’car,Rbla. del Aljibe,CUENCAS MEDITERRANEAS ANDALUZAS,61,36.78959041,-2.636430094,29/11/01,05/12/19
33,06.14.003,490,Almer’a,Roquetas de Mar,El Parador,CUENCAS MEDITERRANEAS ANDALUZAS,50,36.80748353,-2.59430537,29/11/01,05/12/19
34,06.14.004,219,Almer’a,Roquetas de Mar,Los Olivos,CUENCAS MEDITERRANEAS ANDALUZAS,31,36.7751773,-2.639859972,30/11/01,05/12/19
35,06.14.005,282,Almer’a,Roquetas de Mar,Cjos. de Mar’n,CUENCAS MEDITERRANEAS ANDALUZAS,30,36.76170183,-2.655608656,30/11/01,05/12/19
36,06.14.006,520,Almer’a,"Ejido, El",Rbla. de Sta. MÂª del çguila,CUENCAS MEDITERRANEAS ANDALUZAS,54,36.77911213,-2.773200115,30/11/01,13/12/19
37,06.14.007,547,Almer’a,Roquetas de Mar,Rbla. del V’nculo,CUENCAS MEDITERRANEAS ANDALUZAS,7,36.77239393,-2.614660396,30/11/01,23/07/13
38,06.14.008,334,Almer’a,Roquetas de Mar,Rbla. Hortichuelas,CUENCAS MEDITERRANEAS ANDALUZAS,12,36.79933565,-2.584259792,29/11/01,05/12/19
39,06.14.009,122,Almer’a,"Ejido, El",Tierras de Almer’a,CUENCAS MEDITERRANEAS ANDALUZAS,49,36.7421685,-2.782269859,30/11/01,13/12/19
40,06.14.010,384,Almer’a,Dal’as,Los Atajuelos,CUENCAS MEDITERRANEAS ANDALUZAS,237,36.79456704,-2.8566607,30/11/01,18/12/19
41,06.14.011,371,Almer’a,"Ejido, El",Piedras Negras,CUENCAS MEDITERRANEAS ANDALUZAS,238,36.80578929,-2.822447708,30/11/01,18/12/19
42,06.14.012,392,Almer’a,"Ejido, El",Rbla. de Balanegra,CUENCAS MEDITERRANEAS ANDALUZAS,80,36.75539463,-2.89706508,30/11/01,13/12/19
43,06.14.013,400,Almer’a,"Ejido, El",Castillo de Guardias Viejas,CUENCAS MEDITERRANEAS ANDALUZAS,39,36.7017079,-2.851235618,30/11/01,13/12/19
44,06.14.014,134,Almer’a,Enix,Bco. del Palmer,CUENCAS MEDITERRANEAS ANDALUZAS,100,36.82799476,-2.533643251,29/11/01,13/12/19
45,06.14.015,160,Almer’a,Roquetas de Mar,Los Rincones,CUENCAS MEDITERRANEAS ANDALUZAS,270,36.84494246,-2.608688578,20/11/01,26/09/13
46,06.15.001,28,Almer’a,Adra,Puente del r’o Adra,CUENCAS MEDITERRANEAS ANDALUZAS,25,36.75794441,-2.985782678,14/02/07,17/12/19
47,06.15.002,20,Almer’a,Adra,La Algaida,CUENCAS MEDITERRANEAS ANDALUZAS,12,36.74886599,-2.981964388,14/02/07,17/12/19
48,06.15.019,22,Almer’a,Adra,,CUENCAS MEDITERRANEAS ANDALUZAS,14,36.75274153,-2.977168679,15/01/93,25/06/03
49,06.15.019S,0,Almer’a,Adra,P-401,CUENCAS MEDITERRANEAS ANDALUZAS,23,36.75764641,-2.981962332,18/08/75,12/11/04